CNPJ_Fundo;Data_Referencia;Versao;Nome_Representante;Nome_Fundo;Data_Eleicao;Termino_Mandato
05.562.312/0001-02;2020-12-01;2;Gabriel José Lindenbaum;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2020-04-30;2022-04-22
05.562.312/0001-02;2020-12-01;2;Luiz Gustavo Aurnheimer Vieira;FII - BB Fundo Progressivo;2020-04-30;2022-04-29
07.000.400/0001-46;2020-12-01;1;BERNARDO AURNHEIMER VIEIRA;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2020-03-24;2021-04-30
07.000.400/0001-46;2020-12-01;1;GABRIEL JOSÉ LINDENBAUM;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2020-04-13;2021-04-30
07.000.400/0001-46;2020-12-01;1;GABRIEL JOSÉ LINDENBAUM;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2020-03-24;2021-04-30
07.000.400/0001-46;2020-12-01;1;Luiz Gustavo Aurnheimer Vieira;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFICIO ALMIRANTE BARROSO;2020-04-13;2021-04-30
07.000.400/0001-46;2020-12-01;1;Luiz Gustavo Aurnheimer Vieira;BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;2020-03-24;2021-04-30
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
13.974.819/0001-00;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
30.791.386/0001-68;2020-12-01;1;N/A;N/A;1899-12-31;1899-12-31
